This flight happened on: Wed Jan 11 02:48:28 2023

acc_x |acc_y|acc_z| roll |pitch| yaw | x_vel|y_vel|z_vel|  X   | Y   |  Z  |
+0.43 |+0.00 |+9.64 |+0.07|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.44 |-0.01 |+9.63 |+0.07|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.47 |-0.02 |+9.66 |+0.07|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.39 |-0.02 |+9.71 |+0.07|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.42 |-0.04 |+9.73 |+0.07|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.47 |-0.01 |+9.63 |+0.07|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.48 |-0.04 |+9.66 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.42 |-0.02 |+9.72 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.41 |-0.04 |+9.66 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.47 |-0.06 |+9.67 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.42 |-0.05 |+9.69 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.43 |-0.00 |+9.72 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.46 |-0.04 |+9.66 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.50 |-0.02 |+9.72 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.45 |-0.03 |+9.63 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.46 |-0.00 |+9.64 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.47 |-0.03 |+9.61 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.43 |-0.06 |+9.71 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.42 |-0.01 |+9.69 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.45 |-0.08 |+9.67 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.46 |-0.04 |+9.69 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.47 |-0.02 |+9.67 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.45 |+0.01 |+9.64 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.42 |-0.02 |+9.67 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.46 |-0.02 |+9.66 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.46 |-0.02 |+9.69 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.41 |+0.02 |+9.61 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.45 |+0.00 |+9.62 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.41 |-0.05 |+9.71 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.44 |-0.02 |+9.67 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.42 |-0.08 |+9.66 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.46 |-0.04 |+9.64 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.45 |-0.04 |+9.69 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.46 |-0.01 |+9.58 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.44 |-0.05 |+9.54 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.44 |-0.04 |+9.70 |+0.07|-0.02|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.45 |-0.01 |+9.64 |+0.07|-0.02|+0.12|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.45 |-0.04 |+9.67 |+0.07|-0.02|+0.12|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.49 |+0.03 |+9.67 |+0.07|-0.02|+0.12|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.45 |+0.00 |+9.68 |+0.07|-0.02|+0.12|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.52 |-0.05 |+9.73 |+0.07|-0.02|+0.12|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.43 |-0.07 |+9.72 |+0.07|-0.02|+0.12|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.46 |-0.01 |+9.64 |+0.07|-0.02|+0.12|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.45 |-0.03 |+9.68 |+0.07|-0.02|+0.12|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
